Kategori: Alla kategorier

Dag;bitcoin: (Över hela världen)
2023-03-23;70
2023-03-24;67
2023-03-25;53
2023-03-26;54
2023-03-27;62
2023-03-28;61
2023-03-29;61
2023-03-30;60
2023-03-31;57
2023-04-01;51
2023-04-02;51
2023-04-03;56
2023-04-04;53
2023-04-05;54
2023-04-06;53
2023-04-07;50
2023-04-08;45
2023-04-09;45
2023-04-10;53
2023-04-11;77
2023-04-12;66
2023-04-13;61
2023-04-14;64
2023-04-15;57
2023-04-16;54
2023-04-17;56
2023-04-18;58
2023-04-19;55
2023-04-20;55
2023-04-21;57
2023-04-22;51
2023-04-23;49
2023-04-24;56
2023-04-25;52
2023-04-26;62
2023-04-27;52
2023-04-28;51
2023-04-29;46
2023-04-30;45
2023-05-01;53
2023-05-02;50
2023-05-03;49
2023-05-04;49
2023-05-05;47
2023-05-06;45
2023-05-07;44
2023-05-08;55
2023-05-09;51
2023-05-10;49
2023-05-11;51
2023-05-12;50
2023-05-13;43
2023-05-14;39
2023-05-15;45
2023-05-16;42
2023-05-17;42
2023-05-18;43
2023-05-19;44
2023-05-20;38
2023-05-21;41
2023-05-22;45
2023-05-23;44
2023-05-24;43
2023-05-25;44
2023-05-26;44
2023-05-27;38
2023-05-28;40
2023-05-29;43
2023-05-30;43
2023-05-31;43
2023-06-01;44
2023-06-02;41
2023-06-03;40
2023-06-04;40
2023-06-05;51
2023-06-06;53
2023-06-07;47
2023-06-08;46
2023-06-09;42
2023-06-10;49
2023-06-11;48
2023-06-12;47
2023-06-13;43
2023-06-14;46
2023-06-15;50
2023-06-16;46
2023-06-17;42
2023-06-18;41
2023-06-19;44
2023-06-20;46
2023-06-21;61
2023-06-22;61
2023-06-23;61
2023-06-24;54
2023-06-25;50
2023-06-26;53
2023-06-27;48
2023-06-28;51
2023-06-29;50
2023-06-30;54
2023-07-01;45
2023-07-02;47
2023-07-03;51
2023-07-04;49
2023-07-05;49
2023-07-06;51
2023-07-07;47
2023-07-08;43
2023-07-09;44
2023-07-10;48
2023-07-11;50
2023-07-12;47
2023-07-13;49
2023-07-14;57
2023-07-15;48
2023-07-16;45
2023-07-17;48
2023-07-18;47
2023-07-19;48
2023-07-20;48
2023-07-21;45
2023-07-22;40
2023-07-23;42
2023-07-24;48
2023-07-25;45
2023-07-26;47
2023-07-27;45
2023-07-28;44
2023-07-29;42
2023-07-30;41
2023-07-31;44
2023-08-01;44
2023-08-02;44
2023-08-03;44
2023-08-04;45
2023-08-05;41
2023-08-06;41
2023-08-07;43
2023-08-08;47
2023-08-09;45
2023-08-10;44
2023-08-11;43
2023-08-12;41
2023-08-13;39
2023-08-14;43
2023-08-15;44
2023-08-16;45
2023-08-17;54
2023-08-18;76
2023-08-19;55
2023-08-20;45
2023-08-21;50
2023-08-22;50
2023-08-23;49
2023-08-24;45
2023-08-25;45
2023-08-26;41
2023-08-27;42
2023-08-28;43
2023-08-29;54
2023-08-30;50
2023-08-31;47
2023-09-01;46
2023-09-02;42
2023-09-03;40
2023-09-04;42
2023-09-05;42
2023-09-06;42
2023-09-07;43
2023-09-08;43
2023-09-09;38
2023-09-10;40
2023-09-11;43
2023-09-12;44
2023-09-13;43
2023-09-14;40
2023-09-15;40
2023-09-16;37
2023-09-17;36
2023-09-18;43
2023-09-19;42
2023-09-20;40
2023-09-21;40
2023-09-22;39
2023-09-23;36
2023-09-24;35
2023-09-25;38
2023-09-26;38
2023-09-27;39
2023-09-28;38
2023-09-29;37
2023-09-30;34
2023-10-01;39
2023-10-02;48
2023-10-03;41
2023-10-04;40
2023-10-05;39
2023-10-06;39
2023-10-07;37
2023-10-08;39
2023-10-09;42
2023-10-10;41
2023-10-11;40
2023-10-12;40
2023-10-13;39
2023-10-14;37
2023-10-15;37
2023-10-16;49
2023-10-17;47
2023-10-18;44
2023-10-19;43
2023-10-20;52
2023-10-21;46
2023-10-22;47
2023-10-23;63
2023-10-24;100
2023-10-25;75
2023-10-26;66
2023-10-27;58
2023-10-28;51
2023-10-29;48
2023-10-30;55
2023-10-31;51
2023-11-01;54
2023-11-02;63
2023-11-03;61
2023-11-04;49
2023-11-05;48
2023-11-06;51
2023-11-07;50
2023-11-08;53
2023-11-09;72
2023-11-10;67
2023-11-11;56
2023-11-12;52
2023-11-13;56
2023-11-14;59
2023-11-15;57
2023-11-16;56
2023-11-17;51
2023-11-18;49
2023-11-19;45
2023-11-20;56
2023-11-21;54
2023-11-22;54
2023-11-23;49
