Category: All categories

Day;buy bitcoin: (Worldwide)
2023-03-23;54
2023-03-24;53
2023-03-25;45
2023-03-26;58
2023-03-27;52
2023-03-28;48
2023-03-29;46
2023-03-30;54
2023-03-31;53
2023-04-01;49
2023-04-02;51
2023-04-03;49
2023-04-04;54
2023-04-05;52
2023-04-06;56
2023-04-07;52
2023-04-08;51
2023-04-09;51
2023-04-10;51
2023-04-11;64
2023-04-12;52
2023-04-13;52
2023-04-14;58
2023-04-15;48
2023-04-16;51
2023-04-17;53
2023-04-18;50
2023-04-19;48
2023-04-20;46
2023-04-21;44
2023-04-22;45
2023-04-23;53
2023-04-24;45
2023-04-25;46
2023-04-26;51
2023-04-27;48
2023-04-28;46
2023-04-29;44
2023-04-30;50
2023-05-01;56
2023-05-02;48
2023-05-03;52
2023-05-04;48
2023-05-05;46
2023-05-06;49
2023-05-07;48
2023-05-08;45
2023-05-09;42
2023-05-10;48
2023-05-11;47
2023-05-12;44
2023-05-13;44
2023-05-14;40
2023-05-15;51
2023-05-16;46
2023-05-17;53
2023-05-18;54
2023-05-19;57
2023-05-20;58
2023-05-21;56
2023-05-22;54
2023-05-23;52
2023-05-24;46
2023-05-25;47
2023-05-26;47
2023-05-27;55
2023-05-28;51
2023-05-29;44
2023-05-30;46
2023-05-31;50
2023-06-01;47
2023-06-02;48
2023-06-03;47
2023-06-04;50
2023-06-05;46
2023-06-06;48
2023-06-07;46
2023-06-08;49
2023-06-09;53
2023-06-10;49
2023-06-11;53
2023-06-12;50
2023-06-13;47
2023-06-14;52
2023-06-15;56
2023-06-16;53
2023-06-17;54
2023-06-18;53
2023-06-19;46
2023-06-20;51
2023-06-21;61
2023-06-22;58
2023-06-23;57
2023-06-24;53
2023-06-25;58
2023-06-26;48
2023-06-27;56
2023-06-28;58
2023-06-29;56
2023-06-30;57
2023-07-01;55
2023-07-02;56
2023-07-03;53
2023-07-04;55
2023-07-05;52
2023-07-06;60
2023-07-07;57
2023-07-08;55
2023-07-09;56
2023-07-10;59
2023-07-11;57
2023-07-12;52
2023-07-13;59
2023-07-14;58
2023-07-15;57
2023-07-16;61
2023-07-17;54
2023-07-18;53
2023-07-19;58
2023-07-20;67
2023-07-21;73
2023-07-22;62
2023-07-23;78
2023-07-24;62
2023-07-25;70
2023-07-26;64
2023-07-27;65
2023-07-28;65
2023-07-29;58
2023-07-30;68
2023-07-31;61
2023-08-01;59
2023-08-02;58
2023-08-03;55
2023-08-04;52
2023-08-05;54
2023-08-06;55
2023-08-07;50
2023-08-08;49
2023-08-09;53
2023-08-10;53
2023-08-11;51
2023-08-12;50
2023-08-13;55
2023-08-14;54
2023-08-15;50
2023-08-16;47
2023-08-17;56
2023-08-18;61
2023-08-19;63
2023-08-20;100
2023-08-21;72
2023-08-22;74
2023-08-23;72
2023-08-24;73
2023-08-25;78
2023-08-26;76
2023-08-27;80
2023-08-28;72
2023-08-29;72
2023-08-30;76
2023-08-31;79
2023-09-01;79
2023-09-02;78
2023-09-03;82
2023-09-04;73
2023-09-05;73
2023-09-06;68
2023-09-07;70
2023-09-08;79
2023-09-09;81
2023-09-10;76
2023-09-11;71
2023-09-12;67
2023-09-13;72
2023-09-14;42
2023-09-15;42
2023-09-16;42
2023-09-17;41
2023-09-18;37
2023-09-19;41
2023-09-20;44
2023-09-21;44
2023-09-22;39
2023-09-23;46
2023-09-24;42
2023-09-25;39
2023-09-26;40
2023-09-27;42
2023-09-28;41
2023-09-29;40
2023-09-30;46
2023-10-01;45
2023-10-02;42
2023-10-03;50
2023-10-04;42
2023-10-05;42
2023-10-06;40
2023-10-07;40
2023-10-08;39
2023-10-09;38
2023-10-10;36
2023-10-11;41
2023-10-12;40
2023-10-13;37
2023-10-14;43
2023-10-15;37
2023-10-16;43
2023-10-17;43
2023-10-18;43
2023-10-19;48
2023-10-20;48
2023-10-21;47
2023-10-22;40
2023-10-23;49
2023-10-24;70
2023-10-25;54
2023-10-26;53
2023-10-27;48
2023-10-28;42
2023-10-29;44
2023-10-30;41
2023-10-31;47
2023-11-01;48
2023-11-02;52
2023-11-03;47
2023-11-04;44
2023-11-05;49
2023-11-06;45
2023-11-07;45
2023-11-08;45
2023-11-09;56
2023-11-10;60
2023-11-11;51
2023-11-12;46
2023-11-13;50
2023-11-14;50
2023-11-15;49
2023-11-16;48
2023-11-17;47
2023-11-18;46
2023-11-19;46
2023-11-20;43
2023-11-21;45
2023-11-22;45
2023-11-23;41
